species,authority,url
Afrotyphlops platyrhynchus,"(STERNFELD, 1910)",https://reptile-database.reptarium.cz/Afrotyphlops/platyrhynchus?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops punctatus,"(LEACH, 1819)",https://reptile-database.reptarium.cz/Afrotyphlops/punctatus?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops rondoensis,"(LOVERIDGE, 1942)",https://reptile-database.reptarium.cz/Afrotyphlops/rondoensis?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops rouxestevae,"TRAPE, 2019",https://reptile-database.reptarium.cz/Afrotyphlops/rouxestevae?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops schlegelii,"(BIANCONI, 1849)",https://reptile-database.reptarium.cz/Afrotyphlops/schlegelii?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops schmidti,"(LAURENT, 1956)",https://reptile-database.reptarium.cz/Afrotyphlops/schmidti?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops steinhausi,"(WERNER, 1909)",https://reptile-database.reptarium.cz/Afrotyphlops/steinhausi?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops tanganicanus,"(LAURENT, 1964)",https://reptile-database.reptarium.cz/Afrotyphlops/tanganicanus?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops usambaricus,"(LAURENT, 1964)",https://reptile-database.reptarium.cz/Afrotyphlops/usambaricus?search_param=%28%28taxon%3D%27snake%27%29%29
Agkistrodon bilineatus,"GÜNTHER, 1863",https://reptile-database.reptarium.cz/Agkistrodon/bilineatus?search_param=%28%28taxon%3D%27snake%27%29%29
Agkistrodon conanti,"GLOYD, 1969",https://reptile-database.reptarium.cz/Agkistrodon/conanti?search_param=%28%28taxon%3D%27snake%27%29%29
Agkistrodon contortrix,"(LINNAEUS, 1766)",https://reptile-database.reptarium.cz/Agkistrodon/contortrix?search_param=%28%28taxon%3D%27snake%27%29%29
Agkistrodon howardgloydi,"CONANT, 1984",https://reptile-database.reptarium.cz/Agkistrodon/howardgloydi?search_param=%28%28taxon%3D%27snake%27%29%29
Agkistrodon laticinctus,"GLOYD & CONANT, 1934",https://reptile-database.reptarium.cz/Agkistrodon/laticinctus?search_param=%28%28taxon%3D%27snake%27%29%29
Agkistrodon piscivorus,"(LACÉPÈDE, 1789)",https://reptile-database.reptarium.cz/Agkistrodon/piscivorus?search_param=%28%28taxon%3D%27snake%27%29%29
Agkistrodon russeolus,"GLOYD, 1972",https://reptile-database.reptarium.cz/Agkistrodon/russeolus?search_param=%28%28taxon%3D%27snake%27%29%29
Agkistrodon taylori,"BURGER & ROBERTSON, 1951",https://reptile-database.reptarium.cz/Agkistrodon/taylori?search_param=%28%28taxon%3D%27snake%27%29%29
Ahaetulla anomala,"(ANNANDALE, 1906)",https://reptile-database.reptarium.cz/Ahaetulla/anomala?search_param=%28%28taxon%3D%27snake%27%29%29
